*******************************************************************************
USER DATA                   {Unspecified by user}           Fri Dec-23 08:02:09
Local ID: -838752              (TLE ID = 38752)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 38752U 12046A   22356.68464903  .00041754 -19467-6  20092-2 0  9996
2 38752   9.6632 224.8380 6686770  18.4387 357.3584  3.10486121103321
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 23 08:02:09 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-838752) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-10 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Dec-20 00:00:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221221.p230316
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-21. PREDICTS-> 2023-MAR-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  6.698019231395628E-01,  6.568709880931936E+03,  9.597231122533834E+00,  2.319018034986553E+02,  3.742556527348972E+00,  2.459923605728819E+06,  1.289238317739954E-02,  2.422284672514411E+02,  1.976024690488311E+02,  1.989324087949879E+04,  3.321777187806564E+04,  2.792346419171617E+04,
2459923.520833333, A.D. 2022-Dec-10 00:30:00.0000,  6.698351974584522E-01,  6.567880564615364E+03,  9.596569518068435E+00,  2.318916268277568E+02,  3.762240177265126E+00,  2.459923605725347E+06,  1.289287602364521E-02,  2.654350096676763E+02,  2.056793122100619E+02,  1.989273391366078E+04,  3.321758726270621E+04,  2.792239678251533E+04,
2459923.541666667, A.D. 2022-Dec-10 01:00:00.0000,  6.698784291919575E-01,  6.566741222991252E+03,  9.595611456303445E+00,  2.318806539834964E+02,  3.784393071428999E+00,  2.459923605722208E+06,  1.289369871232731E-02,  2.886411297969663E+02,  2.158756323464107E+02,  1.989188772765671E+04,  3.321703423232216E+04,  2.792061518048456E+04,
2459923.562500000, A.D. 2022-Dec-10 01:30:00.0000,  6.699261324323709E-01,  6.565260886248882E+03,  9.594188046122090E+00,  2.318671467425018E+02,  3.812040973605859E+00,  2.459923605719967E+06,  1.289526427703610E-02,  3.118464376824488E+02,  2.306193089089510E+02,  1.989027769641206E+04,  3.321529450657524E+04,  2.791722544539769E+04,
2459923.583333333, A.D. 2022-Dec-10 02:00:00.0000,  6.699486159738123E-01,  6.563496859687099E+03,  9.592409538403263E+00,  2.318436047367883E+02,  3.855114340364158E+00,  2.459923605719788E+06,  1.289914520251474E-02,  3.350506072067073E+02,  2.583604800509358E+02,  1.988628794589852E+04,  3.320907903210995E+04,  2.790882607708118E+04,
2459923.604166667, A.D. 2022-Dec-10 02:30:00.0000,  6.698498974933137E-01,  6.562464270650735E+03,  9.597338280581216E+00,  2.318219108926816E+02,  3.895169615143416E+00,  2.459923605722422E+06,  1.290797880644138E-02,  3.582649450066589E+02,  3.482473747004239E+02,  1.987721409390699E+04,  3.319196391716324E+04,  2.788972661005237E+04,
2459923.625000000, A.D. 2022-Dec-10 03:00:00.0000,  6.699399398302045E-01,  6.563275245295116E+03,  9.592234973705521E+00,  2.318087520967142E+02,  3.923952047547493E+00,  2.459923605725162E+06,  1.290030718712305E-02,  2.148347509777942E+01,  9.471807275721930E+01,  1.988509376723351E+04,  3.320691228917190E+04,  2.790631221242144E+04,
2459923.645833333, A.D. 2022-Dec-10 03:30:00.0000,  6.699240709597080E-01,  6.565099823556629E+03,  9.594207086464658E+00,  2.317848291157518E+02,  3.968539289237718E+00,  2.459923605725758E+06,  1.289585963293863E-02,  4.468795214152711E+01,  1.264502176028405E+02,  1.988966551618864E+04,  3.321423120882066E+04,  2.791593660654365E+04,
