*******************************************************************************
USER DATA                   {Unspecified by user}           Fri Dec-30 08:22:08
Local ID: -838752              (TLE ID = 38752)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 38752U 12046A   22356.68464903  .00041754 -19467-6  20092-2 0  9996
2 38752   9.6632 224.8380 6686770  18.4387 357.3584  3.10486121103321
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 30 08:22:08 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-838752) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-09 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-05 00:00:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221228.p230323
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-28. PREDICTS-> 2023-MAR-22
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  6.698705361667062E-01,  6.568619390047065E+03,  9.602530024731477E+00,  2.325201702851421E+02,  2.540819698135446E+00,  2.459922636106942E+06,  1.288863128601036E-02,  2.084343386002620E+02,  1.876622539007405E+02,  1.989710131829990E+04,  3.322558324655273E+04,  2.793159273558806E+04,
2459922.520833333, A.D. 2022-Dec-09 00:30:00.0000,  6.698878181933258E-01,  6.568191169062442E+03,  9.602152554789308E+00,  2.325104469184743E+02,  2.558830349217407E+00,  2.459922636103701E+06,  1.288887959006108E-02,  2.316350117559966E+02,  1.943188762704339E+02,  1.989684577259562E+04,  3.322550037612880E+04,  2.793105463391903E+04,
2459922.541666667, A.D. 2022-Dec-09 01:00:00.0000,  6.699162415531051E-01,  6.567490732277387E+03,  9.601601478098557E+00,  2.325005612926698E+02,  2.577751693010680E+00,  2.459922636100277E+06,  1.288927671414018E-02,  2.548355669571599E+02,  2.017998366933176E+02,  1.989643708366217E+04,  3.322538343504696E+04,  2.793019406628627E+04,
2459922.562500000, A.D. 2022-Dec-09 01:30:00.0000,  6.699553562970813E-01,  6.566494233435810E+03,  9.600802746525765E+00,  2.324902389336513E+02,  2.598415230531931E+00,  2.459922636097006E+06,  1.288991933327015E-02,  2.780358216226506E+02,  2.108443243719126E+02,  1.989577579494509E+04,  3.322505735645437E+04,  2.792880162335886E+04,
2459922.583333333, A.D. 2022-Dec-09 02:00:00.0000,  6.700025412522309E-01,  6.565169302494854E+03,  9.599614791162621E+00,  2.324785554610324E+02,  2.622704281739929E+00,  2.459922636094332E+06,  1.289105658750471E-02,  3.012354701731316E+02,  2.230224281156885E+02,  1.989460563547215E+04,  3.322404196844946E+04,  2.792633773316515E+04,
2459922.604166667, A.D. 2022-Dec-09 02:30:00.0000,  6.700444664980176E-01,  6.563504227845490E+03,  9.597851581178615E+00,  2.324618088973457E+02,  2.656194674512178E+00,  2.459922636093069E+06,  1.289350482035623E-02,  3.244340255473330E+02,  2.428241586319922E+02,  1.989208714939177E+04,  3.322067007093805E+04,  2.792103504949508E+04,
2459922.625000000, A.D. 2022-Dec-09 03:00:00.0000,  6.700046099771341E-01,  6.561861638565197E+03,  9.597702475683528E+00,  2.324252277799814E+02,  2.715133666115519E+00,  2.459922636094828E+06,  1.290068357483540E-02,  3.476334930095623E+02,  2.915925033116287E+02,  1.988470698972649E+04,  3.320755234088779E+04,  2.790549802354897E+04,
2459922.645833333, A.D. 2022-Dec-09 03:30:00.0000,  6.699925519272648E-01,  6.561807702542599E+03,  9.597674206747381E+00,  2.324359838525338E+02,  2.715544541190355E+00,  2.459922636097472E+06,  1.290154973730266E-02,  1.085250517388270E+01,  6.235527545676221E+01,  1.988381698917398E+04,  3.320582627580536E+04,  2.790362455132973E+04,
