*******************************************************************************
USER DATA                   {Unspecified by user}           Fri Dec-23 09:30:49
Local ID: -838753              (TLE ID = 38753)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 38753U 12046B   22356.64016359  .00021191  00000-0  20637-2 0  9995
2 38753   9.8827 248.7395 6726894 332.0235   4.3480  3.03111038102462
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 23 09:30:49 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-838753) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-09 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-05 00:00:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221221.p230316
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-21. PREDICTS-> 2023-MAR-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  6.730535949099414E-01,  6.602389112781028E+03,  9.782330685646865E+00,  2.562461031746418E+02,  3.166535136201559E+02,  2.459922597948120E+06,  1.260534372569759E-02,  2.533245364597068E+02,  2.011128393276303E+02,  2.019410218308525E+04,  3.378581525338947E+04,  2.855931641642539E+04,
2459922.520833333, A.D. 2022-Dec-09 00:30:00.0000,  6.730882003768365E-01,  6.601506311714315E+03,  9.782703427512486E+00,  2.562377879914634E+02,  3.166714651346294E+02,  2.459922597944966E+06,  1.260587066927300E-02,  2.760140795546418E+02,  2.097330377511466E+02,  2.019353941743300E+04,  3.378557252315169E+04,  2.855812259580810E+04,
2459922.541666667, A.D. 2022-Dec-09 01:00:00.0000,  6.731317028408919E-01,  6.600310312594109E+03,  9.782897858255875E+00,  2.562316009459643E+02,  3.166892104258559E+02,  2.459922597942181E+06,  1.260678035269921E-02,  2.987032565583843E+02,  2.211284113215724E+02,  2.019256798520691E+04,  3.378482565781970E+04,  2.855606189116487E+04,
2459922.562500000, A.D. 2022-Dec-09 01:30:00.0000,  6.731760311762349E-01,  6.598764440011229E+03,  9.782434984906422E+00,  2.562287560648119E+02,  3.167072334708610E+02,  2.459922597940451E+06,  1.260864531828771E-02,  3.213916346191141E+02,  2.389579601018777E+02,  2.019057679202689E+04,  3.378238914404255E+04,  2.855183811680802E+04,
2459922.583333333, A.D. 2022-Dec-09 02:00:00.0000,  6.731644546139693E-01,  6.597021472452323E+03,  9.779150270709591E+00,  2.562231075973878E+02,  3.167348578365766E+02,  2.459922597941348E+06,  1.261431274856928E-02,  3.440790665010113E+02,  2.788592437650176E+02,  2.018452878085975E+04,  3.377203608926717E+04,  2.853901018435041E+04,
2459922.604166667, A.D. 2022-Dec-09 02:30:00.0000,  6.731121006240706E-01,  6.596694405215571E+03,  9.782633354310478E+00,  2.561965960155014E+02,  3.167725775654617E+02,  2.459922597943748E+06,  1.261828216856303E-02,  6.784347933082175E+00,  4.335796424628306E+01,  2.018029550133089E+04,  3.376389659744620E+04,  2.853003247121053E+04,
2459922.625000000, A.D. 2022-Dec-09 03:00:00.0000,  6.731768998713999E-01,  6.598060306909396E+03,  9.778127717274751E+00,  2.561958472100376E+02,  3.167941546128507E+02,  2.459922597945997E+06,  1.261061345147186E-02,  2.947687815547713E+01,  1.096703596196553E+02,  2.018847598077725E+04,  3.377889165464511E+04,  2.854738204333606E+04,
2459922.645833333, A.D. 2022-Dec-09 03:30:00.0000,  6.731440806706097E-01,  6.599704478105094E+03,  9.777194305882471E+00,  2.561726081606694E+02,  3.168343405797586E+02,  2.459922597945570E+06,  1.260780011245525E-02,  5.216480744595327E+01,  1.328477283359841E+02,  2.019147914361074E+04,  3.378325380911639E+04,  2.855375218428121E+04,
